ID 	Name of Site 	Coord 	Zilla 	Upazilla 	Source
10 	Sarkar's Math (or Shankar's?) 	Yes 	Barisal 	Gaurnadi 	DofA
11 	Kamalapur Mosque 		Barisal 	Gaurnadi 	DofA
12 	Karapur Mia Bari Mosque 		Barisal 	Barisal 	DofA
13 	Bibir Pukur 	Yes 	Barisal 	Barisal 	Sazz
14 	Bibi Chini Mosque 		Barguna 	Betagi 	DofA
15 	Shrirampur Mosque 		Patuakhali 	Sadar 	DofA
16 	Late Amirullah Munshibari Jami Mosque 		Patuakhali 	Dosmina 	DofA
17 	Kachichira Jami Mosque 		Patuakhali 	Patuakhali 	DofA
18 	Double Roofed Grave 		Patuakhali 	Patuakhali 	DofA
19 	Ancient Bridge 		Patuakhali 	Patuakhali 	DofA
20 	Galua Pucca Mosque 		Jhalakathi 	Rajapur 	DofA
21 	Mothbaria Momin Mosque 		Pirojpur 	Mothbaria 	DofA
22 	Amirabad Moghali Masjid 	Yes 	Barisal 		Sazz
23 	Madhobpasha Zominder Bari 	Yes 	Barisal 		Sazz
24 	Mia Bari Masjid 	Yes 	Barisal 		Sazz
25 	Kasba Allah'r Masjid 	Yes 	Barisal 	Gauranadi 	Sazz
27 	Mansa Temple at Goila 		Barisal 		Sazz
28 	Durgasagar Dighi 	Yes 	Barisal 		Sazz
29 	Charkella 		Barisal 		Sazz
30 	Oxford Church 	Yes 	Barisal 		Sazz
31 	Bell's Park 	Yes 	Barisal 		Sazz
32 	Ashwini kumar town hall 	Yes 	Barisal 		Sazz
33 	Khanbari Old Jame Mosque Complex 		Jhalakathi 	Rajapur 	DofA
34 	Rammohan Samadhi Mandir 	Yes 	Barisal 		Sazz
35 	Birth Place of Poet Bijoy Gupta 	Yes 	Barisal 		Sazz
36 	Birth-place of A.K.M. Fazlul Hoque 	Yes 	Jhalakathi 	Rajapur 	DofA
38 	Ancient Jami Mosque 		Jhalakathi 	Rajapur 	DofA
39 	Collectorate Bhaban 		Barisal 	None 	DofA
40 	Dahar Shankar Howladerbari Jami Mosque Complex 		Jhalakathi 	Rajapur 	DofA
41 	Sikder Bari Jami Mosque 		Patuakhali 	None 	DofA
42 	Mosjid Baria Mosque 		Patuakhali 	Mirajganj 	DofA
ID 	Name of Site 	Coord 	Zilla 	Upazilla 	Source
1 	House of Michael Madhusudan Dutta 		Jessore 	Keshabpur 	DofA
2 	Memorial Sculpture of Madhusudan Dutta 		Jessore 	Keshabpur 	DofA
3 	Bharat Bhayna 		Jessore 	Keshabpur 	DofA
4 	4 Room Hamman Khana at Mirzanagar Nabab Bari 		Jessore 	Keshabpur 	DofA
5 	Sheikhpur Jami Mosque 		Jessore 	Keshabpur 	DofA
6 	Imambara of Haji Mohammad Mohsin 		Jessore 	Jessore 	DofA
7 	Chanchra Siva Temple 		Jessore 	Jessore 	DofA
8 	Dam Dam Pir sthan Dhibi 		Jessore 	Manirampur 	DofA
9 	Kayem Khola Mosque 		Jessore 	Jhikargacha 	DofA
10 	Eleven Siva Temple 	Yes 	Jessore 	Avaynagar 	DofA
11 	Dhulgram Shiva Temple 	Yes 	Jessore 	Avaynagar 	Sazz
12 	Pir Khanjahan Ali Jame Mosque 		Jessore 	Avaynagar 	DofA
13 	Dosh Moha Bidya Mondir 	Yes 	None 	Chanchrha 	Sazz
14 	Shiv Mandir 	Yes 	None 	Chanchrha 	Sazz
15 	Shahi Mosque 		Jessore 	Shailakupa 	DofA
16 	Jor Bangla Temple 		Narail 	Lohagara 	DofA
17 	Gorar Mosque 	Yes 	Jhenaidah 	Kaliganj 	DofA
18 	Palace of Mukut Raja 		Jhenaidah 	Kaliganj 	DofA
19 	Pathagar Dhibi 		Jhenaidah 	Kaliganj 	DofA
20 	Jor Bangla Masjid 	Yes 	????? 	None 	Sazz
21 	Jor Bangla Dhibi 		Jhenaidah 	Kaliganj 	DofA
22 	Kharer Dighi Dhibi 		Jhenaidah 	Kaliganj 	DofA
23 	Monohar Dighi Mosque 	Yes 	Jhenaidah 	Kaliganj 	DofA
24 	Badedihi Mound 		Jhenaidah 	Kaliganj 	DofA
25 	Namaj Gaon 		Jhenaidah 	Kaliganj 	DofA
26 	Dam Dam Dhibi 		Jhenaidah 	Kaliganj 	DofA
27 	Ghoper Dhibi 		Jhenaidah 	Kaliganj 	DofA
28 	Shingdaha Aulia Mosque 		Jhenaidah 	Kaliganj 	DofA
29 	Satgachia Gaibana Mosque 	Yes 	Jhenaidah 	Kaliganj 	DofA
30 	Zahaj Ghata 		Jhenaidah 	Kaliganj 	DofA
31 	Galakata Dighi Dhibi Mosque 	Yes 	Jhenaidah 	Kaliganj 	DofA
32 	Pirpukur Mound 	Yes 	Jhenaidah 	Kaliganj 	DofA
33 	Nungola Mound 	Yes 	Jhenaidah 	Kaliganj 	DofA
34 	Shukur Mallik Mound 	Yes 	Jhenaidah 	Kaliganj 	DofA
35 	Ganitik K P Bose 	Yes 	None 	None 	Sazz
36 	Chompaboti home 	Yes 	None 	None 	Sazz
37 	Jomider Selim Chowdhury 	Yes 	None 	None 	Sazz
38 	Jomider Nobi Chowdhury 	Yes 	None 	None 	Sazz
39 	Noldanga Rajbari 	Yes 	None 	None 	Sazz
40 	Noldanga Mondir 	Yes 	None 	None 	Sazz
41 	Gazi Kalu Tomb 	Yes 	None 	None 	Sazz
42 	Charakdani Masjid 	Yes 	None 	None 	Sazz
43 	Diknagar Mound 		Jhenaidah 	Harinakunda 	DofA
44 	Dr Nihar Ranjan Gupter bari 		Narail 	Lohagara 	DofA
45 	Nilkuthi of Khalishpur 		Jhenaidah 	Moheshpur 	DofA
46 	Pancharatna Mandir (Bhisnu Temple) 		Jhenaidah 	Jhenaidah 	DofA
47 	House of Raja Sita Ram Roy 		Magura 	Mohammedpur 	DofA
48 	Dasa Bhuja Temple 		Magura 	Mohammedpur 	DofA
49 	Krishna Temple 		Magura 	Mohammedpur 	DofA
50 	Dol Mancha 		Magura 	Mohammedpur 	DofA
51 	Bhat Vita Mound 		Magura 	Magura 	DofA
52 	Kuthibari of Tagore Shilaidah 		Kushtia 	Kumarkhali 	DofA
53 	Jhaudia Shahi Mosque 		Kushtia 	Sadar 	DofA
54 	Amjhupi Nilkuthi 		Meherpur 	Sadar 	DofA
55 	Probajpur Shahi Mosque 		Jhenaidah 	Kaliganj 	DofA
56 	Kachari Bari and Pond of Raja Sitaram 		Magura 	Mohammedpur 	DofA
ID 	Name of Site 	Coord 	Zilla 	Upazilla 	Source
1 	Khulna BL College 		Khulna 	Khulna City 	Mhbb
2 	Prem Kanon 		Khulna 	Khulna City 	Mhbb
3 	Jora Shiv Mandir 		Khulna 	Khulna City 	Mhbb
4 	Keshab Chandra Shangskritik Toll 		Khulna 	Khulna City 	Mhbb
5 	Monument 		Khulna 	Khulna City 	Mhbb
6 	Bhuban Ghosh Residence 		Khulna 	Khulna City 	Mhbb
7 	Shishu Biddyalay 		Khulna 	Khulna City 	Mhbb
8 	Selim Hotel (Tourism Corporation) 		Khulna 	Khulna City 	Mhbb
9 	Banga Khali pre-Cadet School 		Khulna 	Khulna City 	Mhbb
10 	Dak Bangla (Rest House) 		Khulna 	Khulna City 	Mhbb
11 	Ispahani Building 		Khulna 	Khulna City 	Mhbb
12 	Kumud Ghosh Residence 		Khulna 	Khulna City 	Mhbb
13 	Khan-e-Sabur Bhaban 		Khulna 	Khulna City 	Mhbb
14 	Niharika Bhaban 		Khulna 	Khulna City 	Mhbb
15 	Shailendranath Residence 		Khulna 	Khulna City 	Mhbb
16 	Monomohan Maternity Hospital 		Khulna 	Khulna City 	Mhbb
17 	Zilla Parishad Bhaban 		Khulna 	Khulna City 	Mhbb
18 	Divisional Forest Office 		Khulna 	Khulna City 	Mhbb
19 	Civil Surgeon Residence 		Khulna 	Khulna City 	Mhbb
20 	Khulna Circuit House 		Khulna 	Khulna City 	Mhbb
21 	District Judge Court Building 		Khulna 	Khulna City 	Mhbb
22 	Collectorate Bhaban 		Khulna 	Khulna City 	Mhbb
23 	Nagar Bhaban 		Khulna 	Khulna City 	Mhbb
24 	Bisram Niketan 		Khulna 	Khulna City 	Mhbb
25 	Masjeed Kur Mosque 		Khulna 	Koyra 	DofA
26 	House of Father-in-Law of Robindranath 		Khulna 	Fultala 	DofA
27 	House of Sir Prafulla Chandra Roy 		Khulna 	Paikgacha 	DofA
28 	Dhopa Khola Mosque 		Khulna 	Koyra 	DofA
29 	Three Domed Mosque 		Khulna 	Fultala 	DofA
30 	Shat Gumbad Mosque 	Yes 	Bagerhat 	Bagerhat 	DofA
31 	Nine domed Mosque 	Yes 	Bagerhat 	Bagerhat 	DofA
32 	Rana Vijoypur Mosque 	Yes 	Bagerhat 	Bagerhat 	DofA
33 	Singair Mosque 	Yes 	Bagerhat 	Bagerhat 	DofA
34 	Bibi Begni Mosque 	Yes 	Bagerhat 	Bagerhat 	DofA
35 	Chuna Khola Mosque 	Yes 	Bagerhat 	Bagerhat 	DofA
36 	Reja Khoda Mosque 	Yes 	Bagerhat 	Bagerhat 	DofA
37 	Ulugh Khan Jahan Mosque & Residence 	Yes 	Bagerhat 	Bagerhat 	DofA
38 	One Dome Mosque Near Khan Jahan's Tomb 		Bagerhat 	Bagerhat 	DofA
39 	Tomb of Khan Jahan 	Yes 	Bagerhat 	Bagerhat 	DofA
40 	Tomb of Peer Ali 		Bagerhat 	Bagerhat 	DofA
41 	Shabek Danga Monument 		Bagerhat 	Bagerhat 	DofA
42 	Kodla Math 	Yes 	Bagerhat 	Bagerhat 	DofA
43 	Zinda Pir Tomb & Masjid 	Yes 	None 		Sazz
44 	Jor Bangla Mandir 		None 		Sazz
45 	Babu Deben Ghosh 	Yes 	None 		Sazz
46 	Sona Masjid 		None 		Sazz
47 	Durgapur Shiva Math 		None 		Sazz
49 	Ancient Road built by Khan Jahan 		Bagerhat 	Bagerhat 	DofA
50 	Ten-domed Mosque 		Bagerhat 	Bagerhat 	DofA
51 	Adina Arch. Mound 		Bagerhat 	Bagerhat 	DofA
52 	Tetulia Zami Mosque 		Satkhira 	Tala 	DofA
53 	Iswaripur Hammam Khana 		Satkhira 	Shyamnagar 	DofA
54 	Hammam & Adjacent Archaeological Sites 		Satkhira 	Shyamnagar 	DofA
55 	Probajpur Shahi Mosque 		Satkhira 	Kaliganj 	DofA
56 	Mound adjacent to Govinda Deva temple 		Satkhira 	Shyamnagar 	DofA
57 	Jhurijara Mound 		Satkhira 	Tala 	DofA
58 	Darbar Stamva 		Satkhira 	Tala 	DofA
59 	Church of Jesus 		Satkhira 	Shyamnagar 	DofA
60 	Temple of Joshoreshari 		Satkhira 	Shyamnagar 	DofA
61 	Temple of Sham Shundar 		Satkhira 	Kalaroa 	DofA
62 	Kothabarir Than 		Satkhira 	Kalaroa 	DofA
63 	Chaygharia Jora Siva Temple 		Satkhira 	Satkhira 	DofA
