88	Matta Math	None	None	Manikganj	Sadar		Sazz
89	Sree Sree Anandamayee Kalibari	None	None	Manikganj			Sazz
90	Rajani Bhaban and Jhobhat Bhaban	None	None	Manikganj			Sazz
91	Narayan Sadhu Asram	None	None	Manikganj			Sazz
92	Shivbari Mandir	None	None	Manikganj			Sazz
93	Neel-kuthi at Bimile	None	None	Manikganj	Sadar		Sazz
94	Fort at Fordnagar	None	None	Manikganj	Singair		Sazz
95	Baira Neel-kuthi	None	None	Manikganj	Singair		Sazz
96	Residence of Datta-Guptas	None	None	Manikganj	Singair		Sazz
97	Ananda Kuthi and Mandir	None	None	Manikganj	Singair		Sazz
98	Sen bari and Durga-mandap	None	None	Manikganj	Singair		Sazz
99	Imampara Jami Masjid	None	None	Manikganj	Singair		Sazz
100	Tomb of Hazrat Ibrahim Bogdadi	None	None	Manikganj	Singair		Sazz
101	Kali-sundari Charitable Dispensary	None	None	Manikganj	Singair		Sazz
102	Ekdala Fort	None	None	Manikganj	Shivalaya		Sazz
103	Katasgarh Fort	None	None	Manikganj	Shivalaya		Sazz
104	Fort at Dhaki-jora	None	None	Manikganj	Shivalaya		Sazz
105	Baher Paglar Astana	None	None	Manikganj	Shivalaya		Sazz
106	Daschira Buddha-vihara and stupa	None	None	Manikganj	Shivalaya		Sazz
107	Machain Shahi Jame Masjid	None	None	Manikganj	Shivalaya		DofA
108	Tomb of Shah Rustam	None	None	Manikganj	Shivalaya		Sazz
109	Tepra Kali Mandir Sree-bari	None	None	Manikganj	Shivalaya		Sazz
110	Neel-kuthi at Teota	None	None	Manikganj	Shivalaya		Sazz
111	Tomb of Kalu Shah	None	None	Manikganj	Saturiya		Sazz
112	Gauranga Math	None	None	Manikganj	Saturiya		Sazz
113	Neel-kuthi Sreebari	None	None	Manikganj			Sazz
114	Panch-thubi Bauddha-vihara	None	None	Manikganj	Ghior		Sazz
115	Jhitka Lokmania Dargah	None	None	Manikganj	Harirampur		Sazz
116	Kotkandi Jame mosque 	None	None	Manikganj			Sazz
117	Tomb of Joseph Paget	None	None	Manikganj	Shivalay	None	DofA
118	Tank of Harish Chandra	None	None	Munshiganj	Rampal	DAMU2030	DofA
119	Kali Mandir	None	None	Munshiganj	Rampal		Mhbb
120	Mirkadim Bridge 	None	None	Munshiganj	Tongibari	DAMU2050	DofA
121	Bikrampur Vihara	None	None	Munshiganj			FB
122	Choto Sardar Bari 	None	None	Narayanganj	Sonargaon	DANY1020	DofA
123	Taksal Poddar Bari	None	None	Narayanganj	Sonargaon	DANY1040	DofA
124	Tomb of Haji Baba Saleh 	None	None	Narayanganj	Bandar	DANY1050	DofA
125	Mozumpur Mosque	None	None	Narayanganj	Sonargaon	DANY1060	DofA
126	Dewan Bazar College Mosque	None	None	Narayanganj	Newmarket	DANY1090	DofA
127	Gazir Mound	None	None	Narayanganj	Bandar	DANY1100	DofA
128	Pagla Bridge 	None	None	Narayanganj	Fatullah	DANY1110	DofA
129	Ponkhiraj Bridge	None	None	Narayanganj	Sonargaon		Sazz
130	Panam Bridge	None	None	Narayanganj	Sonargaon	None	DofA
131	Khandakar Mosque	None	None	Narayanganj	Bandar	None	DofA
132	Math, Chandi Mandup, Pati Mondir	None	None	Narayanganj	Rupganj	None	DofA
133	Buruj Mound	None	None	Netrokona	Kendua	DANK3010	DofA
134	Tomb of Dangu Mia	None	None	Netrokona	Kendua	DANK3020	DofA
135	Roofless old Building (Roayl Bari)	None	None	Netrokona	Kendua	DANK3030	DofA
136	Bara Deuri Mound 	None	None	Netrokona	Kendua	DANK3040	DofA
137	Kotbari Fort	None	None	Netrokona	Kendua	DANK3050	DofA
138	Niamati Bibi Dargah	None	None	Netrokona	Kendua	None	DofA
139	Ghagra Khan Bari Jami Mosque 	None	None	Sherpur	Jhinaigati	DASP2810	DofA
140	Nayani Jamidar Bari 	None	None	Sherpur	Sherpur	DASP2820	DofA
141	Rang Mahal of Nayani Jamindar	None	None	Sherpur	Sherpur	DASP2830	DofA
142	Jora Mandir 	None	None	Mymenshing	Muktagacha	DAMM1540	DofA
143	Three siva Temples 	None	None	Mymenshing	Muktagacha	DAMM1550	DofA
144	Har Rameshwar Temple 	None	None	Mymenshing	Muktagacha	DAMM1560	DofA
145	Stone Siva Temple 	None	None	Mymenshing	Muktagacha	DAMM1570	DofA
146	Dimra Siva Temple 	None	None	Mymenshing	Muktagacha	DAMM1580	???DofA
147	Mymenshing Museum Building 	None	None	Mymenshing	Mymenshing	DAMM1590	DofA
148	Town Hall ???? (demolished)	None	None	Mymenshing		DAMM2025	Sazz
149	Palace of Shashikanta	None	None	Mymenshing	Muktagacha		DofA
150	Qutub Mosque 	None	None	Kishoreganj	Astogram	DAKS2510	DofA
151	Mosque of Aurangazeb 	None	None	Kishoreganj	Pakundia	DAKS2540	DofA
152	Ghoradighi Mosque	None	None	Kishoreganj			Mhbb
153	Temple of Poet Dij Bangshi Das 	None	None	Kishoreganj	Kishoreganj	DAKS2550	DofA
154	Shaheb Bari Jami Mosque 	None	None	Kishoreganj	Tarail	DAKS2580	DofA
155	Gayebana Masjid	None	None	Kishoreganj	Sadar		Sazz
156	Garai Mosque	None	None	Kishoreganj	Bazitput	None	DofA
157	Kadim Hamdani Mosque 	None	None	Tangail	Kalihati	DATA3220	DofA
158	Abdullah Khan Mosque	None	None	Faridpur	Bhanga		Mhbb
159	Majlish Awlia Mosque 	None	None	Faridpur	Bhanga	DAFR3310	DofA
160	Mazar of Dewan Saker Shah	None	None	Faridpur			Sazz
161	Basudeva Mandir	None	None	Faridpur			Sazz
162	Gerda Shaheb Para	None	None	Faridpur			Sazz
163	Raja Ram Temple 	None	None	Madaripur	Rajoir	DAMD3410	DofA
164	Char Ani Mosque 	None	None	Shariatpur	Naria	DASA3510	DofA
165	Single domed Tomb near Char Ani Mosque & Madrasha	None	None	Shariatpur	Naria	DASA3520	DofA
166	Manasha Temple 	None	None	Shariatpur	Shariatpur	DASA3530	DofA
167	Durga Temple 	None	None	Shariatpur	Shariatpur	DASA3540	DofA
168	Bahaltali Ancient Mosque 	None	None	Gopalganj	Kotalipara	DAGG3610	DofA
169	Residence of Sheikh Mujib and his forefathers	None	None	Gopalganj	Tungipara	None	DofA
170	House of Michael Madhusudan Dutta 	None	None	Jessore	Keshabpur	KHJS1010	DofA
171	Memorial Sculpture of Madhusudan Dutta 	None	None	Jessore	Keshabpur	KHJS1020	DofA
172	Bharat Bhayna 	None	None	Jessore	Keshabpur	KHJS1030	DofA
173	4 Room Hamman Khana at Mirzanagar Nabab Bari	None	None	Jessore	Keshabpur	KHJS1040	DofA
174	Sheikhpur Jami Mosque 	None	None	Jessore	Keshabpur	KHJS1050	DofA
175	Imambara of Haji Mohammad Mohsin 	None	None	Jessore	Jessore	KHJS1060	DofA
176	Chanchra Siva Temple 	None	None	Jessore	Jessore	KHJS1070	DofA
177	Dam Dam Pir sthan Dhibi 	None	None	Jessore	Manirampur	KHJS1080	DofA
178	Kayem Khola Mosque 	None	None	Jessore	Jhikargacha	KHJS1090	DofA
179	Pir Khanjahan Ali Jame Mosque	None	None	Jessore	Avaynagar	KHJS1110	DofA
180	Shahi Mosque	None	None	Jessore	Shailakupa	None	DofA
181	Jor Bangla Temple	None	None	Narail	Lohagara	None	DofA
182	Palace of Mukut Raja	None	None	Jhenaidah	Kaliganj	None	DofA
183	Pathagar Dhibi 	None	None	Jhenaidah	Kaliganj	None	DofA
184	Jor Bangla Dhibi 	None	None	Jhenaidah	Kaliganj	None	DofA
185	Kharer Dighi Dhibi 	None	None	Jhenaidah	Kaliganj	None	DofA
186	Badedihi Mound 	None	None	Jhenaidah	Kaliganj	None	DofA
187	Namaj Gaon 	None	None	Jhenaidah	Kaliganj	None	DofA
188	Dam Dam Dhibi 	None	None	Jhenaidah	Kaliganj	None	DofA
189	Ghoper Dhibi 	None	None	Jhenaidah	Kaliganj	None	DofA
190	Shingdaha Aulia Mosque 	None	None	Jhenaidah	Kaliganj	None	DofA
191	Zahaj Ghata 	None	None	Jhenaidah	Kaliganj	None	DofA
192	Diknagar Mound	None	None	Jhenaidah	Harinakunda	None	DofA
193	Dr Nihar Ranjan Gupter bari	None	None	Narail	Lohagara	None	DofA
194	Nilkuthi of Khalishpur	None	None	Jhenaidah	Moheshpur	None	DofA
